BorrowerState,Population,Small_Business_Cnt,Employment_Estimate_2017,Annual_payroll_in_thousand
 AL,5024803,78972,802920,30986278
 AK,732441,18188,137271,6974993
 AZ,7177986,114076,1065720,43182447
 AR,3012232,53966,490680,17132234
 CA,39499738,808213,7224945,375608143
 CO,5784308,143372,1140757,52592385
 CT,3600260,73735,745085,37942808
 DE,991886,20194,187221,8523741
 DC,690093,17878,250345,17655546
 FL,21569932,469684,3494174,141824996
 GA,10725800,187477,1677662,69960594
 HI,1451911,27190,275908,11307271
 ID,1847772,41312,325294,11507380
 IL,12785245,268674,2476958,120256281
 IN,6785644,116862,1232838,47885328
 IA,3188669,69029,649796,25142567
 KS,2935880,61515,605147,23519181
 KY,4503958,71336,712477,26227457
 LA,4651203,86986,905147,36296925
 ME,1362280,36138,293872,11288850
 MD,6172679,114081,1155541,56807391
 MA,7022220,149803,1507965,83946046
 MI,10067664,185497,1892394,81626911
 MN,5707165,127061,1259012,54885165
 MS,2956870,46956,437242,14928646
 MO,6154481,122164,1163782,45630303
 MT,1086193,34096,245758,8802223
 NE,1961455,46401,412587,15808095
 NV,3114071,53908,503144,20472538
 NH,1377848,31606,300628,14236547
 NJ,9279743,199857,1836164,91086388
 NM,2117566,35735,339731,12539639
 NY,20154933,481792,4110264,219738715
 NC,10457177,187749,1710890,65858411
 ND,778962,20979,195312,8360080
 OH,11790587,198301,2180337,87856791
 OK,3962031,77320,710271,27600634
 OR,4241544,100766,871241,35729253
 PA,12989625,245259,2512633,107956147
 RI,1096229,24320,229212,9934914
 SC,5130729,86695,817008,29652310
 SD,887099,23766,209403,7552385
 TN,6920119,105492,1116870,46188806
 TX,29217653,473281,4768938,212325999
 UT,3281684,68296,590417,24033600
 VT,642495,18589,157322,6375197
 VA,8632044,160910,1557962,73409216
 WA,7718785,162989,1404077,67340488
 WV,1789798,28424,269789,9414952
 WI,5892323,117354,1267087,50287603
 WY,577267,18558,128883,5336181
